study1,study2,centroid_dist
OSD-624,GSE95388,2.010171
OSD-624,OSD-217,0.24601774
OSD-624,OSD-321,1.4757489
OSD-624,GSE56659,1.138106
OSD-624,OSD-121,2.8894606
OSD-624,OSD-313,1.7195407
OSD-624,OSD-565,0.34188625
OSD-624,OSD-782,1.9918919
OSD-624,GSE56658,1.2210397
OSD-624,OSD-205,2.2818348
OSD-624,OSD-38,1.5042061
OSD-624,OSD-136,2.2800272
OSD-624,OSD-450,2.2826693
OSD-624,OSD-251,1.6691782
OSD-624,OSD-434,2.2834954
OSD-624,GSE115486,1.4682313
OSD-147,OSD-223,2.3192458
OSD-147,OSD-437,0.5212936
OSD-147,OSD-17,0.40773913
OSD-147,OSD-37,0.9327867
OSD-147,OSD-427,2.3706105
OSD-147,OSD-406,0.72135764
OSD-147,GSE81442,0.30662957
OSD-147,OSD-281,0.36399218
OSD-147,OSD-208,1.8106787
OSD-147,OSD-522,0.37095845
OSD-147,OSD-22,0.89859265
OSD-147,OSD-120,0.8797516
OSD-147,OSD-314,0.64344484
OSD-147,OSD-428,1.7393472
OSD-147,OSD-218,0.36552864
OSD-147,OSD-678,1.5711719
OSD-147,OSD-193,0.3520001
OSD-147,OSD-658,0.8096165
OSD-147,GSE95388,0.3051669
OSD-147,OSD-217,2.2875075
OSD-147,OSD-321,0.95062673
OSD-147,GSE56659,1.2176421
OSD-147,OSD-121,1.8844799
OSD-147,OSD-313,0.6181848
OSD-147,OSD-565,2.1169508
OSD-147,OSD-782,0.32276425
OSD-147,GSE56658,1.6283069
OSD-147,OSD-205,0.003422226
OSD-147,OSD-38,0.90452594
OSD-147,OSD-136,0.004766155
OSD-147,OSD-450,0.0021408908
OSD-147,OSD-251,0.6496359
OSD-147,OSD-434,0.002934916
OSD-147,GSE115486,1.5205773
OSD-223,OSD-437,1.8550919
OSD-223,OSD-17,1.9361469
OSD-223,OSD-37,1.4404079
OSD-223,OSD-427,0.20926262
OSD-223,OSD-406,1.6738539
OSD-223,GSE81442,2.0524926
OSD-223,OSD-281,1.9853638
OSD-223,OSD-208,1.4227937
OSD-223,OSD-522,1.9746766
OSD-223,OSD-22,2.0238113
OSD-223,OSD-120,1.5466549
OSD-223,OSD-314,1.7433435
OSD-223,OSD-428,2.8549745
OSD-223,OSD-218,1.99474
OSD-223,OSD-678,1.0025967
OSD-223,OSD-193,2.0037005
OSD-223,OSD-658,1.5834496
OSD-223,GSE95388,2.0401561
OSD-223,OSD-217,0.25272056
OSD-223,OSD-321,1.5236881
OSD-223,GSE56659,1.1378644
OSD-223,OSD-121,3.0164616
OSD-223,OSD-313,1.7585565
OSD-223,OSD-565,0.4598626
OSD-223,OSD-782,2.020908
OSD-223,GSE56658,1.2544225
OSD-223,OSD-205,2.3194268
OSD-223,OSD-38,1.5150211
OSD-223,OSD-136,2.3176842
OSD-223,OSD-450,2.320216
OSD-223,OSD-251,1.7006385
OSD-223,OSD-434,2.3210974
OSD-223,GSE115486,1.4818718
OSD-437,OSD-17,0.23421341
OSD-437,OSD-37,0.5144124
OSD-437,OSD-427,1.9062259
OSD-437,OSD-406,0.28484818
OSD-437,GSE81442,0.32086235
OSD-437,OSD-281,0.20059635
OSD-437,OSD-208,1.3251772
OSD-437,OSD-522,0.19313608
OSD-437,OSD-22,0.7700985
OSD-437,OSD-120,0.42428344
OSD-437,OSD-314,0.26414743
OSD-437,OSD-428,1.7666254
OSD-437,OSD-218,0.25021988
OSD-437,OSD-678,1.0934684
OSD-437,OSD-193,0.23274024
OSD-437,OSD-658,0.42287245
OSD-437,GSE95388,0.30352074
OSD-437,OSD-217,1.8282295
OSD-437,OSD-321,0.5651343
OSD-437,GSE56659,0.7558774
OSD-437,OSD-121,1.9316435
OSD-437,OSD-313,0.24697968
OSD-437,OSD-565,1.6593226
OSD-437,OSD-782,0.23034826
OSD-437,GSE56658,1.2124708
OSD-437,OSD-205,0.5202963
OSD-437,OSD-38,0.49664274
OSD-437,OSD-136,0.5201767
OSD-437,OSD-450,0.52220726
OSD-437,OSD-251,0.26833394
OSD-437,OSD-434,0.5227054
OSD-437,GSE115486,1.0374594
OSD-17,OSD-37,0.58137417
OSD-17,OSD-427,1.986439
OSD-17,OSD-406,0.39704606
OSD-17,GSE81442,0.16134727
OSD-17,OSD-281,0.19831619
OSD-17,OSD-208,1.5171143
OSD-17,OSD-522,0.18884514
OSD-17,OSD-22,0.7719086
OSD-17,OSD-120,0.55936074
OSD-17,OSD-314,0.36831963
OSD-17,OSD-428,1.7672756
OSD-17,OSD-218,0.22264269
OSD-17,OSD-678,1.2302269
OSD-17,OSD-193,0.19013499
OSD-17,OSD-658,0.4625112
OSD-17,GSE95388,0.14487274
OSD-17,OSD-217,1.9015435
OSD-17,OSD-321,0.67428803
OSD-17,GSE56659,0.82701343
OSD-17,OSD-121,1.9364852
OSD-17,OSD-313,0.3449722
OSD-17,OSD-565,1.7435894
OSD-17,OSD-782,0.17200562
OSD-17,GSE56658,1.2891959
OSD-17,OSD-205,0.40782094
OSD-17,OSD-38,0.53648823
OSD-17,OSD-136,0.40625778
OSD-17,OSD-450,0.4089831
OSD-17,OSD-251,0.31106865
OSD-17,OSD-434,0.40971446
OSD-17,GSE115486,1.2313061
OSD-37,OSD-427,1.5104005
OSD-37,OSD-406,0.30698013
OSD-37,GSE81442,0.6827428
OSD-37,OSD-281,0.5963481
OSD-37,OSD-208,1.1992446
OSD-37,OSD-522,0.5820959
OSD-37,OSD-22,0.9895341
OSD-37,OSD-120,0.2737575
OSD-37,OSD-314,0.37031916
OSD-37,OSD-428,1.9961249
OSD-37,OSD-218,0.6071588
OSD-37,OSD-678,0.7587306
OSD-37,OSD-193,0.5984218
OSD-37,OSD-658,0.2703224
OSD-37,GSE95388,0.6663142
OSD-37,OSD-217,1.4306434
OSD-37,OSD-321,0.34321854
OSD-37,GSE56659,0.43939036
OSD-37,OSD-121,2.1691704
OSD-37,OSD-313,0.3852052
OSD-37,OSD-565,1.2589704
OSD-37,OSD-782,0.6297181
OSD-37,GSE56658,1.0037856
OSD-37,OSD-205,0.9330509
OSD-37,OSD-38,0.30273715
OSD-37,OSD-136,0.9309914
OSD-37,OSD-450,0.9336576
OSD-37,OSD-251,0.30894998
OSD-37,OSD-434,0.9347813
OSD-37,GSE115486,0.9678048
OSD-427,OSD-406,1.7316139
OSD-427,GSE81442,2.1051607
OSD-427,OSD-281,2.0418482
OSD-427,OSD-208,1.4553921
OSD-427,OSD-522,2.0303698
OSD-427,OSD-22,2.0274568
OSD-427,OSD-120,1.6048245
OSD-427,OSD-314,1.800143
OSD-427,OSD-428,2.838996
OSD-427,OSD-218,2.048509
OSD-427,OSD-678,1.0470787
OSD-427,OSD-193,2.0602977
OSD-427,OSD-658,1.637558
OSD-427,GSE95388,2.0922854
OSD-427,OSD-217,0.15877277
OSD-427,OSD-321,1.5962436
OSD-427,GSE56659,1.1929955
OSD-427,OSD-121,2.9987993
OSD-427,OSD-313,1.8200605
OSD-427,OSD-565,0.46575454
OSD-427,OSD-782,2.0774488
OSD-427,GSE56658,1.2992704
OSD-427,OSD-205,2.3707273
OSD-427,OSD-38,1.5694767
OSD-427,OSD-136,2.368982
OSD-427,OSD-450,2.3716505
OSD-427,OSD-251,1.7577024
OSD-427,OSD-434,2.3724344
OSD-427,GSE115486,1.5188404
OSD-406,GSE81442,0.48142675
OSD-406,OSD-281,0.3747256
OSD-406,OSD-208,1.2126634
OSD-406,OSD-522,0.3686334
OSD-406,OSD-22,0.81735975
OSD-406,OSD-120,0.21189731
OSD-406,OSD-314,0.17095682
OSD-406,OSD-428,1.7814876
OSD-406,OSD-218,0.38881797
OSD-406,OSD-678,0.8892837
OSD-406,OSD-193,0.38570762
OSD-406,OSD-658,0.29710963
OSD-406,GSE95388,0.46500948
OSD-406,OSD-217,1.6487072
OSD-406,OSD-321,0.40179026
OSD-406,GSE56659,0.604514
OSD-406,OSD-121,1.9537826
OSD-406,OSD-313,0.20301029
OSD-406,OSD-565,1.462593
OSD-406,OSD-782,0.42027485
OSD-406,GSE56658,1.0648019
OSD-406,OSD-205,0.7210883
OSD-406,OSD-38,0.34048742
OSD-406,OSD-136,0.7194184
OSD-406,OSD-450,0.7221647
OSD-406,OSD-251,0.20886804
OSD-406,OSD-434,0.72317636
OSD-406,GSE115486,0.9413687
GSE81442,OSD-281,0.21983425
GSE81442,OSD-208,1.6229972
GSE81442,OSD-522,0.20123358
GSE81442,OSD-22,0.7836323
GSE81442,OSD-120,0.6626289
GSE81442,OSD-314,0.4516982
GSE81442,OSD-428,1.747535
GSE81442,OSD-218,0.2514649
GSE81442,OSD-678,1.3385397
GSE81442,OSD-193,0.17882071
GSE81442,OSD-658,0.5491122
GSE81442,GSE95388,0.039901517
GSE81442,OSD-217,2.0172668
GSE81442,OSD-321,0.7751842
GSE81442,GSE56659,0.93494165
GSE81442,OSD-121,1.9155973
GSE81442,OSD-313,0.43140873
GSE81442,OSD-565,1.859965
GSE81442,OSD-782,0.148673
GSE81442,GSE56658,1.4001048
GSE81442,OSD-205,0.30722743
GSE81442,OSD-38,0.62211066
GSE81442,OSD-136,0.3046331
GSE81442,OSD-450,0.30758893
GSE81442,OSD-251,0.4092926
GSE81442,OSD-434,0.30872968
GSE81442,GSE115486,1.3335295
OSD-281,OSD-208,1.4857758
OSD-281,OSD-522,0.07031202
OSD-281,OSD-22,0.8048878
OSD-281,OSD-120,0.52551734
OSD-281,OSD-314,0.29468706
OSD-281,OSD-428,1.7478459
OSD-281,OSD-218,0.09321263
OSD-281,OSD-678,1.2188387
OSD-281,OSD-193,0.105657846
OSD-281,OSD-658,0.5101621
OSD-281,GSE95388,0.19498475
OSD-281,OSD-217,1.9619462
OSD-281,OSD-321,0.6124915
OSD-281,GSE56659,0.89448047
OSD-281,OSD-121,1.9045535
OSD-281,OSD-313,0.2654222
OSD-281,OSD-565,1.7821375
OSD-281,OSD-782,0.10417964
OSD-281,GSE56658,1.3227376
OSD-281,OSD-205,0.3634716
OSD-281,OSD-38,0.60732186
OSD-281,OSD-136,0.36260837
OSD-281,OSD-450,0.36469913
OSD-281,OSD-251,0.32591328
OSD-281,OSD-434,0.36555958
OSD-281,GSE115486,1.201661
OSD-208,OSD-522,1.4901972
OSD-208,OSD-22,1.6095642
OSD-208,OSD-120,1.0759003
OSD-208,OSD-314,1.2883528
OSD-208,OSD-428,2.2753375
OSD-208,OSD-218,1.507777
OSD-208,OSD-678,0.7881102
OSD-208,OSD-193,1.519516
OSD-208,OSD-658,1.3030438
OSD-208,GSE95388,1.6109282
OSD-208,OSD-217,1.441783
OSD-208,OSD-321,1.1650195
OSD-208,GSE56659,1.1039858
OSD-208,OSD-121,2.4267528
OSD-208,OSD-313,1.3101496
OSD-208,OSD-565,1.269941
OSD-208,OSD-782,1.5397084
OSD-208,GSE56658,1.033135
OSD-208,OSD-205,1.8089689
OSD-208,OSD-38,1.2524956
OSD-208,OSD-136,1.809989
OSD-208,OSD-450,1.8113296
OSD-208,OSD-251,1.3445503
OSD-208,OSD-434,1.8115495
OSD-208,GSE115486,0.30542699
OSD-522,OSD-22,0.80157036
OSD-522,OSD-120,0.52947986
OSD-522,OSD-314,0.3004606
OSD-522,OSD-428,1.7766947
OSD-522,OSD-218,0.1370956
OSD-522,OSD-678,1.215836
OSD-522,OSD-193,0.07253449
OSD-522,OSD-658,0.4804864
OSD-522,GSE95388,0.17779437
OSD-522,OSD-217,1.9496788
OSD-522,OSD-321,0.62171435
OSD-522,GSE56659,0.8776516
OSD-522,OSD-121,1.9362425
OSD-522,OSD-313,0.27777705
OSD-522,OSD-565,1.7778705
OSD-522,OSD-782,0.076069966
OSD-522,GSE56658,1.3358464
OSD-522,OSD-205,0.37057176
OSD-522,OSD-38,0.5821645
OSD-522,OSD-136,0.36953843
OSD-522,OSD-450,0.37169507
OSD-522,OSD-251,0.30752164
OSD-522,OSD-434,0.37261003
OSD-522,GSE115486,1.2050316
OSD-22,OSD-120,0.88942736
OSD-22,OSD-314,0.82275534
OSD-22,OSD-428,1.3614962
OSD-22,OSD-218,0.7887558
OSD-22,OSD-678,1.3070937
OSD-22,OSD-193,0.80519384
OSD-22,OSD-658,0.7941545
OSD-22,GSE95388,0.77874976
OSD-22,OSD-217,1.9230721
OSD-22,OSD-321,1.0225922
OSD-22,GSE56659,1.0598083
OSD-22,OSD-121,1.5364705
OSD-22,OSD-313,0.8431557
OSD-22,OSD-565,1.7624595
OSD-22,OSD-782,0.81489587
OSD-22,GSE56658,1.4962664
OSD-22,OSD-205,0.89824814
OSD-22,OSD-38,0.84996223
OSD-22,OSD-136,0.8956184
OSD-22,OSD-450,0.8996702
OSD-22,OSD-251,0.79268116
OSD-22,OSD-434,0.89980054
OSD-22,GSE115486,1.3496709
OSD-120,OSD-314,0.26964384
OSD-120,OSD-428,1.8287488
OSD-120,OSD-218,0.5248631
OSD-120,OSD-678,0.74022156
OSD-120,OSD-193,0.5523168
OSD-120,OSD-658,0.36612874
OSD-120,GSE95388,0.6429939
OSD-120,OSD-217,1.5269939
OSD-120,OSD-321,0.29071167
OSD-120,GSE56659,0.5570816
OSD-120,OSD-121,1.9942693
OSD-120,OSD-313,0.29696798
OSD-120,OSD-565,1.3159825
OSD-120,OSD-782,0.5864311
OSD-120,GSE56658,0.96565723
OSD-120,OSD-205,0.8793067
OSD-120,OSD-38,0.4129327
OSD-120,OSD-136,0.8779286
OSD-120,OSD-450,0.8805871
OSD-120,OSD-251,0.32430652
OSD-120,OSD-434,0.881487
OSD-120,GSE115486,0.82378995
OSD-314,OSD-428,1.7700837
OSD-314,OSD-218,0.29245433
OSD-314,OSD-678,0.948834
OSD-314,OSD-193,0.33141997
OSD-314,OSD-658,0.36734632
OSD-314,GSE95388,0.42585576
OSD-314,OSD-217,1.7224766
OSD-314,OSD-321,0.35344872
OSD-314,GSE56659,0.70237386
OSD-314,OSD-121,1.9287004
OSD-314,OSD-313,0.07649766
OSD-314,OSD-565,1.5286967
OSD-314,OSD-782,0.3661771
OSD-314,GSE56658,1.1412771
OSD-314,OSD-205,0.64319146
OSD-314,OSD-38,0.46027812
OSD-314,OSD-136,0.64167744
OSD-314,OSD-450,0.64418834
OSD-314,OSD-251,0.20648062
OSD-314,OSD-434,0.64512396
OSD-314,GSE115486,1.0220995
OSD-428,OSD-218,1.7088913
OSD-428,OSD-678,2.1220293
OSD-428,OSD-193,1.7830725
OSD-428,OSD-658,1.9213609
OSD-428,GSE95388,1.7431313
OSD-428,OSD-217,2.751201
OSD-428,OSD-321,1.9300545
OSD-428,GSE56659,2.0827446
OSD-428,OSD-121,0.24754708
OSD-428,OSD-313,1.7915535
OSD-428,OSD-565,2.5231135
OSD-428,OSD-782,1.7855688
OSD-428,GSE56658,2.0781376
OSD-428,OSD-205,1.7387555
OSD-428,OSD-38,1.9088871
OSD-428,OSD-136,1.7374269
OSD-428,OSD-450,1.7394905
OSD-428,OSD-251,1.8527833
OSD-428,OSD-434,1.7392445
OSD-428,GSE115486,2.0931387
OSD-218,OSD-678,1.2259543
OSD-218,OSD-193,0.1499233
OSD-218,OSD-658,0.52524203
OSD-218,GSE95388,0.22165217
OSD-218,OSD-217,1.9668373
OSD-218,OSD-321,0.6021359
OSD-218,GSE56659,0.91724056
OSD-218,OSD-121,1.8626821
OSD-218,OSD-313,0.2674314
OSD-218,OSD-565,1.7780241
OSD-218,OSD-782,0.16468045
OSD-218,GSE56658,1.3297596
OSD-218,OSD-205,0.36524442
OSD-218,OSD-38,0.62911725
OSD-218,OSD-136,0.36364895
OSD-218,OSD-450,0.3663752
OSD-218,OSD-251,0.33689678
OSD-218,OSD-434,0.3672642
OSD-218,GSE115486,1.2262808
OSD-678,OSD-193,1.2470744
OSD-678,OSD-658,0.9033829
OSD-678,GSE95388,1.3222152
OSD-678,OSD-217,0.9946473
OSD-678,OSD-321,0.7419474
OSD-678,GSE56659,0.64331794
OSD-678,OSD-121,2.2800977
OSD-678,OSD-313,0.98087674
OSD-678,OSD-565,0.78062266
OSD-678,OSD-782,1.2767671
OSD-678,GSE56658,0.8220166
OSD-678,OSD-205,1.5706676
OSD-678,OSD-38,0.8770694
OSD-678,OSD-136,1.5696146
OSD-678,OSD-450,1.5719064
OSD-678,OSD-251,0.98444575
OSD-678,OSD-434,1.57269
OSD-678,GSE115486,0.7238485
OSD-193,OSD-658,0.48266542
OSD-193,GSE95388,0.1584675
OSD-193,OSD-217,1.9766316
OSD-193,OSD-321,0.6518217
OSD-193,GSE56659,0.9027529
OSD-193,OSD-121,1.9455953
OSD-193,OSD-313,0.3122231
OSD-193,OSD-565,1.8048093
OSD-193,OSD-782,0.07040116
OSD-193,GSE56658,1.368617
OSD-193,OSD-205,0.35181186
OSD-193,OSD-38,0.58557934
OSD-193,OSD-136,0.35016695
OSD-193,OSD-450,0.3528281
OSD-193,OSD-251,0.32072988
OSD-193,OSD-434,0.35392186
OSD-193,GSE115486,1.2321376
OSD-658,GSE95388,0.5360008
OSD-658,OSD-217,1.5454533
OSD-658,OSD-321,0.49521774
OSD-658,GSE56659,0.5178749
OSD-658,OSD-121,2.1020312
OSD-658,OSD-313,0.38742965
OSD-658,OSD-565,1.3981829
OSD-658,OSD-782,0.5168463
OSD-658,GSE56658,1.1680995
OSD-658,OSD-205,0.8099152
OSD-658,OSD-38,0.21915321
OSD-658,OSD-136,0.80727565
OSD-658,OSD-450,0.8107386
OSD-658,OSD-251,0.20992427
OSD-658,OSD-434,0.81179816
OSD-658,GSE115486,1.0435888
GSE95388,OSD-217,2.0052974
GSE95388,OSD-321,0.749416
GSE95388,GSE56659,0.92709434
GSE95388,OSD-121,1.9095082
GSE95388,OSD-313,0.40589815
GSE95388,OSD-565,1.8458728
GSE95388,OSD-782,0.13059194
GSE95388,GSE56658,1.3945919
GSE95388,OSD-205,0.30574477
GSE95388,OSD-38,0.6136084
GSE95388,OSD-136,0.3030795
GSE95388,OSD-450,0.30621475
GSE95388,OSD-251,0.38827068
GSE95388,OSD-434,0.3073259
GSE95388,GSE115486,1.3224509
OSD-217,OSD-321,1.529963
OSD-217,GSE56659,1.1072364
OSD-217,OSD-121,2.9157202
OSD-217,OSD-313,1.7433232
OSD-217,OSD-565,0.39459482
OSD-217,OSD-782,1.9950546
OSD-217,GSE56658,1.2556202
OSD-217,OSD-205,2.287715
OSD-217,OSD-38,1.4776213
OSD-217,OSD-136,2.285688
OSD-217,OSD-450,2.288587
OSD-217,OSD-251,1.6727139
OSD-217,OSD-434,2.2894316
OSD-217,GSE115486,1.4821496
OSD-321,GSE56659,0.6579923
OSD-321,OSD-121,2.0772376
OSD-321,OSD-313,0.3571125
OSD-321,OSD-565,1.3133383
OSD-321,OSD-782,0.6840527
OSD-321,GSE56658,1.0387663
OSD-321,OSD-205,0.9504786
OSD-321,OSD-38,0.5688038
OSD-321,OSD-136,0.94918203
OSD-321,OSD-450,0.95129985
OSD-321,OSD-251,0.43262804
OSD-321,OSD-434,0.952225
OSD-321,GSE115486,0.94918364
GSE56659,OSD-121,2.2660816
GSE56659,OSD-313,0.7150536
GSE56659,OSD-565,0.9981716
GSE56659,OSD-782,0.9147854
GSE56659,GSE56658,0.8505463
GSE56659,OSD-205,1.217711
GSE56659,OSD-38,0.44080323
GSE56659,OSD-136,1.2160352
GSE56659,OSD-450,1.2186366
GSE56659,OSD-251,0.62501156
GSE56659,OSD-434,1.2195143
GSE56659,GSE115486,0.9107554
OSD-121,OSD-313,1.9481436
OSD-121,OSD-565,2.6806588
OSD-121,OSD-782,1.946711
OSD-121,GSE56658,2.2378561
OSD-121,OSD-205,1.883842
OSD-121,OSD-38,2.098852
OSD-121,OSD-136,1.882767
OSD-121,OSD-450,1.8845285
OSD-121,OSD-251,2.02232
OSD-121,OSD-434,1.884202
OSD-121,GSE115486,2.2538083
OSD-313,OSD-565,1.549766
OSD-313,OSD-782,0.33922294
OSD-313,GSE56658,1.1456574
OSD-313,OSD-205,0.6179449
OSD-313,OSD-38,0.48249078
OSD-313,OSD-136,0.61664534
OSD-313,OSD-450,0.6189
OSD-313,OSD-251,0.20712973
OSD-313,OSD-434,0.6198542
OSD-313,GSE115486,1.0435028
OSD-565,OSD-782,1.8276689
OSD-565,GSE56658,1.0492839
OSD-565,OSD-205,2.117072
OSD-565,OSD-38,1.3444419
OSD-565,OSD-136,2.1149702
OSD-565,OSD-450,2.1179495
OSD-565,OSD-251,1.5041895
OSD-565,OSD-434,2.118865
OSD-565,GSE115486,1.3038728
OSD-782,GSE56658,1.3741258
OSD-782,OSD-205,0.3224777
OSD-782,OSD-38,0.61197144
OSD-782,OSD-136,0.32138467
OSD-782,OSD-450,0.32356918
OSD-782,OSD-251,0.35142383
OSD-782,OSD-434,0.32454762
OSD-782,GSE115486,1.251537
GSE56658,OSD-205,1.6278062
GSE56658,OSD-38,1.0851518
GSE56658,OSD-136,1.627591
GSE56658,OSD-450,1.6289135
GSE56658,OSD-251,1.1772797
GSE56658,OSD-434,1.6295164
GSE56658,GSE115486,0.96386135
OSD-205,OSD-38,0.90480167
OSD-205,OSD-136,0.0069387523
OSD-205,OSD-450,0.0038843735
OSD-205,OSD-251,0.64982885
OSD-205,OSD-434,0.0031374225
OSD-205,GSE115486,1.5188277
OSD-38,OSD-136,0.90225625
OSD-38,OSD-450,0.90564084
OSD-38,OSD-251,0.33505973
OSD-38,OSD-434,0.9066437
OSD-38,GSE115486,1.0002211
OSD-136,OSD-450,0.006033759
OSD-136,OSD-251,0.6475439
OSD-136,OSD-434,0.0071493434
OSD-136,GSE115486,1.5198416
OSD-450,OSD-251,0.65070796
OSD-450,OSD-434,0.0022156683
OSD-450,GSE115486,1.5212661
OSD-251,OSD-434,0.65173954
OSD-251,GSE115486,1.0752058
OSD-434,GSE115486,1.5214708
