study1,study2,centroid_dist
OSD-44,OSD-346,0.46410805
OSD-44,OSD-624,2.2763793
OSD-44,OSD-147,0.00856461
OSD-44,OSD-223,2.3138428
OSD-44,OSD-437,0.51609206
OSD-44,OSD-17,0.4021361
OSD-44,OSD-37,0.9268369
OSD-44,OSD-427,2.3651752
OSD-44,OSD-406,0.7150831
OSD-44,GSE81442,0.30004042
OSD-44,OSD-281,0.35863864
OSD-44,OSD-208,1.8063879
OSD-44,OSD-522,0.36531153
OSD-44,OSD-22,0.89343023
OSD-44,OSD-120,0.8739549
OSD-44,OSD-314,0.6378649
OSD-44,OSD-428,1.7375823
OSD-44,OSD-218,0.3601287
OSD-44,OSD-678,1.5657704
OSD-44,OSD-193,0.34569356
OSD-44,OSD-658,0.8029147
OSD-44,GSE95388,0.29853368
OSD-44,OSD-217,2.2818158
OSD-44,OSD-321,0.94596916
OSD-44,GSE56659,1.2117945
OSD-44,OSD-121,1.88332
OSD-44,OSD-313,0.612973
OSD-44,OSD-565,2.1112723
OSD-44,OSD-782,0.31695315
OSD-44,GSE56658,1.6242317
OSD-44,OSD-205,0.0099637965
OSD-44,OSD-38,0.8977034
OSD-44,OSD-136,0.0054281773
OSD-44,OSD-450,0.009743329
OSD-44,OSD-251,0.6433699
OSD-44,OSD-434,0.011021351
OSD-44,GSE115486,1.5161648
OSD-346,OSD-624,1.8281726
OSD-346,OSD-147,0.4695041
OSD-346,OSD-223,1.864983
OSD-346,OSD-437,0.1940694
OSD-346,OSD-17,0.19767176
OSD-346,OSD-37,0.4838202
OSD-346,OSD-427,1.9217756
OSD-346,OSD-406,0.3057789
OSD-346,GSE81442,0.27847674
OSD-346,OSD-281,0.14227788
OSD-346,OSD-208,1.4435401
OSD-346,OSD-522,0.14429134
OSD-346,OSD-22,0.7952317
OSD-346,OSD-120,0.44307265
OSD-346,OSD-314,0.21488032
OSD-346,OSD-428,1.7819843
OSD-346,OSD-218,0.15313946
OSD-346,OSD-678,1.1263584
OSD-346,OSD-193,0.18234618
OSD-346,OSD-658,0.40979245
OSD-346,GSE95388,0.24931666
OSD-346,OSD-217,1.8416079
OSD-346,OSD-321,0.5121396
OSD-346,GSE56659,0.78755295
OSD-346,OSD-121,1.940591
OSD-346,OSD-313,0.18024892
OSD-346,OSD-565,1.6655158
OSD-346,OSD-782,0.1934281
OSD-346,GSE56658,1.255795
OSD-346,OSD-205,0.46951085
OSD-346,OSD-38,0.5149244
OSD-346,OSD-136,0.46789578
OSD-346,OSD-450,0.47041324
OSD-346,OSD-251,0.21250571
OSD-346,OSD-434,0.47133905
OSD-346,GSE115486,1.1672568
OSD-624,OSD-147,2.281684
OSD-624,OSD-223,0.26675263
OSD-624,OSD-437,1.8247025
OSD-624,OSD-17,1.9061146
OSD-624,OSD-37,1.4179623
OSD-624,OSD-427,0.21840857
OSD-624,OSD-406,1.641103
OSD-624,GSE81442,2.0249858
OSD-624,OSD-281,1.9504428
OSD-624,OSD-208,1.4129167
OSD-624,OSD-522,1.9412897
OSD-624,OSD-22,1.9498446
OSD-624,OSD-120,1.5055432
OSD-624,OSD-314,1.6991647
OSD-624,OSD-428,2.7364423
OSD-624,OSD-218,1.9516797
OSD-624,OSD-678,0.93553776
OSD-624,OSD-193,1.9725145
OSD-624,OSD-658,1.559279
