gene,err_spaceflight,err_ground,err_ratio
AT5G43820,0.5937493,0.0912434,6.5073113
AT4G39930,0.9540548,0.14691949,6.4937243
AT2G38195,1.199754,0.18481992,6.491475
AT5G41240,0.5058157,0.07806224,6.4796457
AT2G40955,1.0051914,0.15522501,6.4757047
AT5G36670,1.0752168,0.1660964,6.473449
AT1G35320,0.91993743,0.14257154,6.4524612
AT3G24650,0.8870896,0.1376409,6.4449563
AT4G10220,0.8298424,0.12898815,6.433477
AT3G60160,0.98431903,0.15329926,6.4208984
AT2G36550,0.7442456,0.11605702,6.4127574
AT5G61910,0.35061857,0.054805346,6.397524
AT1G80970,0.89737463,0.14051852,6.3861656
AT5G24480,0.73404574,0.11516302,6.3739705
AT4G32210,0.77687794,0.12193844,6.3710666
AT3G51640,0.3704307,0.05818465,6.3664665
AT2G20130,0.378781,0.05964055,6.3510637
AT3G53650,1.1444653,0.18058471,6.337553
AT1G49245,0.81313187,0.12851006,6.3273783
AT3G45000,0.8897342,0.14064685,6.3260155
AT1G73450,0.36954466,0.05842813,6.3247714
AT1G44318,0.64184827,0.101627536,6.315692
AT5G44980,0.82686514,0.13098809,6.3125205
AT1G67100,1.0726012,0.17021962,6.301278
AT1G54860,1.1532012,0.18309212,6.2984753
AT5G26270,1.2953838,0.20615809,6.2834487
AT1G78710,0.8333332,0.13300279,6.265531
AT5G27400,0.89391476,0.14303823,6.2494807
AT1G48660,0.9801616,0.15716638,6.236458
AT5G29050,0.92409754,0.14834607,6.229336
AT5G06810,0.5805507,0.09321743,6.227919
AT5G56370,1.0251046,0.16481176,6.2198505
AT1G31670,0.68044615,0.10950072,6.214079
AT1G11760,0.3943805,0.06354231,6.2065806
AT1G08000,0.34848487,0.05617342,6.203731
AT2G03010,0.6804383,0.10999932,6.18584
AT5G65590,0.72475123,0.11729272,6.1789956
AT1G29730,0.6725981,0.108875975,6.177654
AT4G19770,1.0234166,0.16620341,6.1576147
AT1G16750,0.45753595,0.07439162,6.150369
AT4G16940,0.91899455,0.14983083,6.133547
AT1G46696,0.7008239,0.11436794,6.1278
AT1G63190,0.883328,0.14432006,6.120618
AT5G15420,1.3052683,0.21341777,6.116024
AT3G28360,0.8231053,0.13463551,6.1135817
AT1G16260,0.71704847,0.11746333,6.104445
AT1G24851,1.2779492,0.20944048,6.1017294
AT2G04800,1.1142182,0.1826373,6.100715
AT5G02920,0.68936044,0.1133777,6.0802116
AT2G05310,0.53345025,0.08784631,6.07254
AT5G53190,0.83068526,0.13682002,6.0713716
AT4G10020,1.0745708,0.17704989,6.06931
AT3G28330,0.8716843,0.14480609,6.0196657
AT3G29430,0.6099078,0.101643346,6.000469
AT1G22750,0.50663507,0.08446001,5.9985194
AT1G76820,0.54816145,0.09148862,5.99158
AT3G18840,0.8641388,0.14430055,5.9884644
AT4G09610,1.0265012,0.17147145,5.986426
AT5G47510,0.5796638,0.0968612,5.9844785
AT1G35500,0.8102623,0.13543735,5.982561
AT5G37950,1.2414532,0.20764333,5.9787765
AT2G15400,0.78374326,0.13140994,5.9641085
AT3G56350,1.0672088,0.17919093,5.955707
AT3G61700,0.3870503,0.064995825,5.955002
