dim,sf_mean,ground_mean,sf_std,ground_std,t_stat,p_val,abs_t
1,-0.021940472,0.009660752,0.07117223,0.061013184,-13.230883605026943,3.325096768204266e-39,13.230883605026943
26,0.23512961,-0.07610496,0.99291307,0.7280521,10.438769622945285,3.277328713883756e-25,10.438769622945285
22,-0.03108618,0.016443947,0.13686521,0.12664033,-9.767117063159027,2.643845900502198e-22,9.767117063159027
21,0.017767781,-0.0056991656,0.08117215,0.07433029,8.196262529468536,3.2339697227689085e-16,8.196262529468536
18,0.1097551,-0.11211062,1.065735,0.88186437,6.367078234516826,2.1269381428774986e-10,6.367078234516826
28,-0.014166287,0.0071817935,0.110972635,0.097694084,-5.619657950571402,2.03348681204923e-08,5.619657950571402
8,0.012797415,-0.0032281436,0.08542068,0.08766853,4.862501190925322,1.2002118008585433e-06,4.862501190925322
10,-0.007872201,0.001188626,0.043043263,0.0525439,-4.7238181705202695,2.38787570709932e-06,4.7238181705202695
19,-0.024136625,-0.0019443991,0.14732018,0.13473618,-4.2748083522749285,1.9541871619363567e-05,4.2748083522749285
12,0.015541637,-0.008320616,0.12189419,0.16236156,4.073878744889354,4.706397193375321e-05,4.073878744889354
29,-0.005122054,0.0053543225,0.07455782,0.067395516,-4.023306897226101,5.836576464233122e-05,4.023306897226101
2,-0.018386144,0.0024380798,0.15135112,0.15794232,-3.518434412642458,0.0004385622932878047,3.518434412642458
16,0.0012016951,-0.0072844946,0.06251932,0.06529959,3.4685983562200087,0.0005282780705592513,3.4685983562200087
14,-0.0057738265,0.0028656826,0.06428572,0.0686034,-3.374666181087218,0.0007455518611765599,3.374666181087218
27,-0.0077292593,0.006072174,0.12169022,0.13247843,-2.8017064565572998,0.005105888469577734,2.8017064565572998
9,-0.004482058,0.0011841488,0.055765368,0.053137433,-2.7933122273576014,0.0052400534788215524,2.7933122273576014
30,-0.00472195,0.0045064166,0.078533486,0.098569445,-2.5748388556302437,0.010061587974312898,2.5748388556302437
15,-0.006092142,0.0009266747,0.08061335,0.09195948,-2.0690213635728547,0.03860328608496624,2.0690213635728547
3,-0.012334829,-0.00479101,0.09531392,0.09875144,-2.035782097441948,0.04183299401249089,2.035782097441948
11,-0.0037008347,0.0063339863,0.1338012,0.14870538,-1.8213235179357061,0.06862666521224338,1.8213235179357061
6,-0.004754403,-0.00037384033,0.06176342,0.069510244,-1.7045392905571852,0.08835212135157092,1.7045392905571852
17,0.007356868,0.0026279083,0.06414424,0.07672869,1.68324222523604,0.09240029756236738,1.68324222523604
20,0.001265759,-0.0025703036,0.061142284,0.07161356,1.4582190853873678,0.14485269107261425,1.4582190853873678
24,0.065037765,0.008432959,0.99297637,1.2538652,1.2426052578552735,0.21408061936675815,1.2426052578552735
0,0.0060871528,0.003971502,0.052943602,0.052188903,1.069631650444868,0.2848447649067699,1.069631650444868
4,0.00948837,0.04812472,1.0322406,1.0587177,-0.9706248025127635,0.33178936497409095,0.9706248025127635
31,-0.0037275988,-0.0013040078,0.10517328,0.12648477,-0.5237337591569258,0.600490535299836,0.5237337591569258
23,-0.0005015043,0.00034542862,0.052528825,0.04463877,-0.48357266127111065,0.6287136331488221,0.48357266127111065
13,-0.005393656,-0.004548583,0.05096573,0.052577693,-0.4279741543643665,0.6686912220832263,0.4279741543643665
5,-0.0067233485,-0.0058797416,0.059397973,0.05974695,-0.3740988979773628,0.7083490558228928,0.3740988979773628
25,0.008952499,0.007047657,0.14389585,0.15520856,0.3295113864000746,0.7417851271118577,0.3295113864000746
7,0.040179577,0.043836,1.4184461,0.8714724,-0.09611007635162741,0.9234375962897808,0.09611007635162741
