"pathway","n","total","pvalue","fold","pathway_name"
"ath00760",3,26,1,0.503704287515763,"Nicotinate and nicotinamide metabolism - Arabidopsis thaliana (thale cress)"
"ath00770",8,36,1,0.970097146326654,"Pantothenate and CoA biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00785",6,36,1,0.727572859744991,"Lipoic acid metabolism - Arabidopsis thaliana (thale cress)"
"ath00790",13,32,1,1.77345884562842,"Folate biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00860",20,57,1,1.53173233630524,"Porphyrin metabolism - Arabidopsis thaliana (thale cress)"
"ath00900",19,61,1,1.35972632804802,"Terpenoid backbone biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00902",5,7,1,3.1181693989071,"Monoterpenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00904",13,25,1,2.27002732240437,"Diterpenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00905",3,9,1,1.45514571948998,"Brassinosteroid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00906",16,32,1,2.18271857923497,"Carotenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00908",17,32,1,2.31913849043716,"Zeatin biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00909",14,23,1,2.6572226181991,"Sesquiterpenoid and triterpenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00910",20,43,1,2.03043588766044,"Nitrogen metabolism - Arabidopsis thaliana (thale cress)"
"ath00920",5,40,1,0.545679644808743,"Sulfur metabolism - Arabidopsis thaliana (thale cress)"
"ath00940",59,132,1,1.95121812386157,"Phenylpropanoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00941",7,25,1,1.22232240437158,"Flavonoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00945",2,9,1,0.970097146326654,"Stilbenoid, diarylheptanoid and gingerol biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00950",5,22,1,0.992144808743169,"Isoquinoline alkaloid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00960",17,40,1,1.85531079234973,"Tropane, piperidine and pyridine alkaloid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00966",10,26,1,1.67901429171921,"Glucosinolate biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00970",14,713,1,0.0857168586515838,"Aminoacyl-tRNA biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00999",35,70,1,2.18271857923497,"Biosynthesis of various plant secondary metabolites - Arabidopsis thaliana (thale cress)"
"ath01040",7,25,1,1.22232240437158,"Biosynthesis of unsaturated fatty acids - Arabidopsis thaliana (thale cress)"
"ath01100",707,2460,1,1.25461954107246,"Metabolic pathways - Arabidopsis thaliana (thale cress)"
"ath01110",440,1377,1,1.39491092935859,"Biosynthesis of secondary metabolites - Arabidopsis thaliana (thale cress)"
"ath01200",71,279,1,1.11091769982569,"Carbon metabolism - Arabidopsis thaliana (thale cress)"
"ath01210",23,103,1,0.974806355774842,"2-Oxocarboxylic acid metabolism - Arabidopsis thaliana (thale cress)"
"ath01212",13,70,1,0.810724043715847,"Fatty acid metabolism - Arabidopsis thaliana (thale cress)"
"ath01230",45,242,1,0.811754843517139,"Biosynthesis of amino acids - Arabidopsis thaliana (thale cress)"
"ath01232",13,84,1,0.675603369763206,"Nucleotide metabolism - Arabidopsis thaliana (thale cress)"
"ath01240",54,244,1,0.966121338349906,"Biosynthesis of cofactors - Arabidopsis thaliana (thale cress)"
"ath01250",29,101,1,1.25344235243196,"Biosynthesis of nucleotide sugars - Arabidopsis thaliana (thale cress)"
"ath02010",33,68,1,2.11852097396336,"ABC transporters - Arabidopsis thaliana (thale cress)"
"ath03008",13,98,1,0.579088602654176,"Ribosome biogenesis in eukaryotes - Arabidopsis thaliana (thale cress)"
"ath03010",46,396,1,0.507096235579842,"Ribosome - Arabidopsis thaliana (thale cress)"
"ath03013",18,106,1,0.7413006495515,"Nucleocytoplasmic transport - Arabidopsis thaliana (thale cress)"
"ath03015",22,119,1,0.807055609128898,"mRNA surveillance pathway - Arabidopsis thaliana (thale cress)"
"ath03018",18,114,1,0.68927955133736,"RNA degradation - Arabidopsis thaliana (thale cress)"
"ath03020",13,52,1,1.09135928961749,"RNA polymerase - Arabidopsis thaliana (thale cress)"
"ath03022",14,55,1,1.11120218579235,"Basal transcription factors - Arabidopsis thaliana (thale cress)"
"ath03030",5,43,1,0.50760897191511,"DNA replication - Arabidopsis thaliana (thale cress)"
