condition,Anther,Epidermis,Guard_cells,Gynoecium,Male_meiocyte,Meristematic,Mesophyll,Phloem,Pollen,Stele,Tapetum,Trichoblast,Unknown,Vascular
Ground,0.1816,0.4228,0.0177,0.2541,0.0643,0.0317,0.0,0.015,0.0003,0.0021,0.0009,0.0013,0.0,0.0081
Spaceflight,0.2302,0.3939,0.0026,0.2402,0.1034,0.0006,0.0,0.0291,0.0,0.0,0.0,0.0,0.0,0.0
