study,n_samples,mean_latent_dim0,mean_recon_err,mean_top_dim
OSD-44,12,0.0143086845,0.006653095,0.041180965
OSD-346,36,0.0037579713,0.1350916,0.010248973
OSD-624,36,-0.02796448,0.33788252,-0.10818371
OSD-147,18,0.014170561,0.0060687866,0.04117002
OSD-223,40,0.04373818,0.20074043,-0.108217075
OSD-437,19,-0.013810374,0.22389932,0.012537465
OSD-17,24,0.030763155,0.03787309,0.017542504
OSD-37,56,0.014109236,0.29619816,-0.012337237
OSD-427,48,0.018656421,0.17863464,-0.09687013
OSD-406,24,-0.010551394,0.45009652,-0.021352833
GSE81442,18,0.018599067,0.6832081,0.015433575
OSD-281,32,0.003573943,0.23757243,0.020234253
OSD-208,6,-0.006932527,0.5886695,-0.09448677
OSD-522,12,-0.012250635,0.13106285,0.022002464
OSD-22,21,0.02453661,0.12336766,-0.02340428
OSD-120,36,-0.013006861,0.38494256,-0.0042772843
OSD-314,11,-0.018103385,0.18096136,0.003440691
OSD-428,10,0.093308635,0.33057502,-0.109919116
OSD-218,32,0.0063288556,0.23107558,0.028060408
OSD-678,36,-0.040460464,0.51096356,-0.051406607
OSD-193,32,-0.005614907,0.16936412,0.030204112
OSD-658,14,0.009987782,0.09572859,0.007229087
GSE95388,6,0.014127314,0.66280204,0.016394703
OSD-217,12,0.0067363395,0.15023787,-0.08534487
OSD-321,44,0.008538877,0.16475292,-0.00012198857
GSE56659,36,0.025839379,0.50202936,-0.038357712
OSD-121,8,0.09462614,1.1500914,-0.10590015
OSD-313,18,-0.006533541,0.11873383,0.0066695455
OSD-565,45,-0.062876426,0.3113773,-0.070990026
OSD-782,36,-0.006542788,0.11795595,0.027758716
GSE56658,24,0.09957824,1.064209,-0.09283171
OSD-205,6,0.013901464,0.0054396186,0.041164275
OSD-38,12,0.041666597,0.20522247,-0.037910704
OSD-136,9,0.014159517,0.0096685765,0.04097423
OSD-450,15,0.0139985,0.008803767,0.0410529
OSD-251,20,-0.00030042324,0.11963636,0.009999914
OSD-434,9,0.014306867,0.008168232,0.04102553
GSE115486,6,-0.014932159,0.5700643,-0.06446576
