"","Unknown","Epidermis","Anther","Tapetum","Male_meiocyte","Gynoecium","Vascular","Pollen","Developing_ovule","Guard_cells","Stele","Meristematic","Seed_coat","Mesophyll","Phloem","Trichoblast","Phloem_parenchyma"
"AT1G23960",0.0182853476622023,0.0563212927756654,0.0306122448979592,0.00835654596100279,0.0171673819742489,0.0679611650485437,0.0306058713304185,0.0251256281407035,0,0.0397590361445783,0.0337126000842815,0.0407035175879397,0.0204081632653061,0.0113544201135442,0.0166320166320166,0.0233463035019455,0
"AT5G46510",0.0651215013232817,0.120009505703422,0.110204081632653,0.197771587743733,0.0858369098712446,0.0776699029126214,0.0449718925671455,0.110552763819095,0.0434782608695652,0.158433734939759,0.10661609776654,0.0552763819095477,0,0.0356853203568532,0.0457380457380457,0.0544747081712062,0
"AT2G01440",0.0162001764375652,0.0297053231939164,0.0244897959183673,0.011142061281337,0.0257510729613734,0.0242718446601942,0.0224859462835728,0.0150753768844221,0,0.0283132530120482,0.0261272650653182,0.021105527638191,0,0.0097323600973236,0.00207900207900208,0.0116731517509728,0
"AT5G51630",0.0152377897185019,0.0356463878326996,0.0142857142857143,0.0222841225626741,0.0343347639484979,0.0194174757281553,0.0231105559025609,0.0050251256281407,0,0.0283132530120482,0.0290771175726928,0.0346733668341709,0.0408163265306122,0.008110300081103,0.0665280665280665,0.0194552529182879,0
"AT4G36140",0.107145721389045,0.195579847908745,0.109183673469388,0.175487465181058,0.214592274678112,0.0533980582524272,0.110555902560899,0.155778894472362,0.304347826086957,0.240361445783133,0.159713442899284,0.145226130653266,0.0612244897959184,0.104622871046229,0.147609147609148,0.190661478599222,0
"AT3G03305",0.0268666292405165,0.0510931558935361,0.191836734693878,0.0557103064066852,0.0472103004291846,0.0485436893203883,0.0256089943785134,0.0703517587939698,0,0.047289156626506,0.0375052675937632,0.0341708542713568,0.0204081632653061,0.0137875101378751,0.0415800415800416,0.0233463035019455,0
"AT5G56380",0.049643114925014,0.061074144486692,0.0387755102040816,0.0334261838440111,0.0343347639484979,0.0194174757281553,0.0224859462835728,0.0351758793969849,0.0434782608695652,0.104819277108434,0.089338390223346,0.0482412060301508,0.0204081632653061,0.0113544201135442,0.0145530145530146,0.0194552529182879,0.0833333333333333
"AT5G05400",0.0283102093191114,0.0698669201520913,0.0153061224489796,0.0306406685236769,0.0171673819742489,0,0.023735165521549,0.0050251256281407,0,0.0545180722891566,0.0442477876106195,0.0301507537688442,0.142857142857143,0.0235198702351987,0.422037422037422,0.0194552529182879,0
"AT4G12990",0.0273478226000481,0.0423003802281369,0.00612244897959184,0.00835654596100279,0.00858369098712446,0.0339805825242718,0.014366021236727,0.0150753768844221,0,0.0596385542168675,0.0358196375895491,0.0321608040201005,0.0408163265306122,0.0170316301703163,0.0103950103950104,0.0116731517509728,0.0833333333333333
"AT5G17880",0.0340845296334911,0.0667775665399239,0.0163265306122449,0.00835654596100279,0.00429184549356223,0.0145631067961165,0.0306058713304185,0.0150753768844221,0,0.0762048192771084,0.04551201011378,0.0447236180904523,0,0.0251419302514193,0.0187110187110187,0.0116731517509728,0
