"","Unknown","Epidermis","Anther","Tapetum","Male_meiocyte","Gynoecium","Vascular","Pollen","Developing_ovule","Guard_cells","Stele","Meristematic","Seed_coat","Mesophyll","Phloem","Trichoblast","Phloem_parenchyma"
"AT1G29410",0.0095436682973775,0.0147338403041825,0.00714285714285714,0.011142061281337,0.00858369098712446,0.00485436893203883,0.00624609618988132,0,0,0.019578313253012,0.0198061525495154,0.00904522613065327,0,0.0040551500405515,0.00207900207900208,0,0
"AT5G51620",0.0348865185660438,0.0679657794676806,0.0255102040816327,0.0278551532033426,0.0386266094420601,0.029126213592233,0.0306058713304185,0.0351758793969849,0.0434782608695652,0.0698795180722892,0.0598398651495997,0.0603015075376884,0.0204081632653061,0.0170316301703163,0.0623700623700624,0.0116731517509728,0
"AT5G35450",0.0141952041061833,0.0377851711026616,0.0173469387755102,0.0167130919220056,0.00429184549356223,0.00485436893203883,0.0218613366645846,0.0251256281407035,0,0.0430722891566265,0.0434049726085124,0.0301507537688442,0.0204081632653061,0.016220600162206,0.0207900207900208,0.0350194552529183,0.0833333333333333
"AT3G43740",0.0118694362017804,0.0251901140684411,0.0153061224489796,0.0167130919220056,0.00858369098712446,0.0388349514563107,0.0131168019987508,0.0150753768844221,0,0.0262048192771084,0.0240202275600506,0.0175879396984925,0,0.0064882400648824,0.00207900207900208,0.00389105058365759,0
"AT5G17890",0.101211003288155,0.180846007604563,0.146938775510204,0.122562674094708,0.133047210300429,0.0825242718446602,0.0999375390381012,0.175879396984925,0.130434782608696,0.233734939759036,0.153392330383481,0.12964824120603,0.0204081632653061,0.08110300081103,0.0956340956340956,0.1284046692607,0.166666666666667
"AT3G47680",0.105782340203705,0.195579847908745,0.169387755102041,0.261838440111421,0.244635193133047,0.0533980582524272,0.122423485321674,0.155778894472362,0.347826086956522,0.219578313253012,0.155499367888748,0.160804020100503,0.0204081632653061,0.0916463909164639,0.25987525987526,0.124513618677043,0
"AT1G05090",0.00160397786510546,0.00499049429657795,0.00204081632653061,0,0,0.00485436893203883,0.00687070580886946,0,0,0.00512048192771084,0.00294985250737463,0.00552763819095477,0,0.0048661800486618,0.00623700623700624,0.00389105058365759,0
"AT2G41440",0.012029833988291,0.0261406844106464,0.0244897959183673,0.0139275766016713,0.0472103004291846,0.0388349514563107,0.0156152404747033,0.0402010050251256,0,0.0201807228915663,0.0210703750526759,0.0185929648241206,0.0204081632653061,0.0105433901054339,0.0187110187110187,0.00389105058365759,0
"AT1G62590",0.00400994466276365,0.0104562737642586,0.0102040816326531,0.0278551532033426,0.00429184549356223,0.00485436893203883,0.00687070580886946,0.0050251256281407,0,0.0144578313253012,0.00632111251580278,0.00954773869346734,0,0.0089213300892133,0.00207900207900208,0.00778210116731518,0
"AT2G07718",0.14403721228647,0.211264258555133,0.488775510204082,0.158774373259053,0.218884120171674,0.364077669902913,0.253591505309182,0.467336683417085,0.217391304347826,0.197289156626506,0.148335440370839,0.239195979899497,0.428571428571429,0.16139497161395,0.253638253638254,0.214007782101167,0.166666666666667
