sample,time_hours,time_type,time_raw,age_hours,age_raw,source,title
GSM2685959,,,,912.0,age: 38days,a_arenosa_notinoculated_comercialsoil_rep1,a_arenosa_notinoculated_comercialsoil_rep1
GSM2685960,,,,912.0,age: 38days,a_arenosa_notinoculated_comercialsoil_rep2,a_arenosa_notinoculated_comercialsoil_rep2
GSM2685961,,,,912.0,age: 38days,a_arenosa_notinoculated_toxicmetalsubstrate_rep1,a_arenosa_notinoculated_toxicmetalsubstrate_rep1
GSM2685962,,,,912.0,age: 38days,a_arenosa_notinoculated_toxicmetalsubstrate_rep2,a_arenosa_notinoculated_toxicmetalsubstrate_rep2
GSM2685963,,,,912.0,age: 38days,a_arenosa_inoculated_toxicmetalsubstrate_rep1,a_arenosa_inoculated_toxicmetalsubstrate_rep1
GSM2685964,,,,912.0,age: 38days,a_arenosa_inoculated_toxicmetalsubstrate_rep2,a_arenosa_inoculated_toxicmetalsubstrate_rep2
GSM264761,1.0,treatment_duration,from:Tween 0.1% 1h,,,Rosette leaves of the flu mutant (Ler) grown under continuous light 1h after mock spray with Tween 0.1%,Tween 0.1% 1h
GSM264762,2.0,treatment_duration,from:Tween 0.1% 2h,,,Rosette leaves of the flu mutant (Ler) grown under continuous light 2h after mock spray with Tween 0.1%,Tween 0.1% 2h
GSM264763,4.0,treatment_duration,from:Tween 0.1% 4h,,,Rosette leaves of the flu mutant (Ler) grown under continuous light 4h after mock spray with Tween 0.1%,Tween 0.1% 4h
GSM264764,1.0,treatment_duration,from:paraquat 20mM 1h,,,Rosette leaves of the flu mutant (Ler) grown under continuous light 1h after spray paraquat 20mM in Tween 0.1%,paraquat 20mM 1h
GSM264765,2.0,treatment_duration,from:paraquat 20mM 2h,,,Rosette leaves of the flu mutant (Ler) grown under continuous light 2h after spray paraquat 20mM in Tween 0.1%,paraquat 20mM 2h
GSM264766,4.0,treatment_duration,from:paraquat 20mM 4h,,,Rosette leaves of the flu mutant (Ler) grown under continuous light 4h after spray paraquat 20mM in Tween 0.1%,paraquat 20mM 4h
GSM265530,8.0,treatment_duration,from:col_dark 8hours/30 minute light_1,,,rosette leaves from wild-type Columbia,col_dark 8hours/30 minute light_1
GSM265531,8.0,treatment_duration,from:col_dark 8hours/30 minute light_2,,,rosette leaves from wild-type Columbia,col_dark 8hours/30 minute light_2
GSM265532,8.0,treatment_duration,from:flu_dark 8hours/30 minute light_1,,,rosette leaves from flu Col-0 mutant,flu_dark 8hours/30 minute light_1
GSM265533,8.0,treatment_duration,from:flu_dark 8hours/30 minute light_2,,,rosette leaves flu Col-0 mutant,flu_dark 8hours/30 minute light_2
GSM265534,8.0,treatment_duration,from:ex1_flu_dark 8hours/30 minute light_1,,,rosette leaves from EX1/flu cross,ex1_flu_dark 8hours/30 minute light_1
GSM265535,8.0,treatment_duration,from:ex1_flu_dark 8hours/30 minute light_2,,,rosette leaves from EX1/flu cross,ex1_flu_dark 8hours/30 minute light_2
GSM265536,8.0,treatment_duration,from:ex2_flu_dark 8hours/30 minute light_1,,,rosette leaves from EX2/flu cross,ex2_flu_dark 8hours/30 minute light_1
GSM265537,8.0,treatment_duration,from:ex2_flu_dark 8hours/30 minute light_2,,,rosette leaves from EX2/flu cross,ex2_flu_dark 8hours/30 minute light_2
GSM265538,8.0,treatment_duration,from:ex1ex2flu_dark 8hours/30 minute light_1,,,rosette leaves from EX1/EX2/flu cross,ex1ex2flu_dark 8hours/30 minute light_1
GSM265539,8.0,treatment_duration,from:ex1ex2flu_dark 8hours/30 minute light_2,,,rosette leaves from EX1/EX2/flu cross,ex1ex2flu_dark 8hours/30 minute light_2
GSM272985,8.0,treatment_duration,"from:wild type plants (Col) grown under continuous light, transferred to the dark for 8h and shifted to light for 2h",,,"wild type plants (Col) grown under continuous light, transferred to the dark for 8h and shifted to light for 2h","WT Col, biological rep1"
GSM272986,8.0,treatment_duration,"from:wild type plants (Col) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"wild type plants (Col) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","WT Col, biological rep2"
GSM272987,8.0,treatment_duration,"from:the flu mutant (SAIL_136_E05) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"the flu mutant (SAIL_136_E05) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","flu, biological rep1"
GSM272988,8.0,treatment_duration,"from:the flu mutant (SAIL_136_E05) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"the flu mutant (SAIL_136_E05) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","flu, biological rep2"
GSM272989,8.0,treatment_duration,"from:thylakoidal ascorbate peroxidase overexpressor plants (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"thylakoidal ascorbate peroxidase overexpressor plants (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","over-tAPX 14-2, biological rep1"
GSM272990,8.0,treatment_duration,"from:thylakoidal ascorbate peroxidase overexpressor plants (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"thylakoidal ascorbate peroxidase overexpressor plants (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","over-tAPX 14-2, biological rep2"
GSM272991,8.0,treatment_duration,"from:the flu mutant (SAIL_136_E05) overexpressing thylakoidal ascorbate peroxidase (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"the flu mutant (SAIL_136_E05) overexpressing thylakoidal ascorbate peroxidase (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","flu over-tAPX 14-2, biological rep1"
GSM272992,8.0,treatment_duration,"from:the flu mutant (SAIL_136_E05) overexpressing thylakoidal ascorbate peroxidase (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h",,,"the flu mutant (SAIL_136_E05) overexpressing thylakoidal ascorbate peroxidase (line 14/2, PMID: 15165186 ) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h","flu over-tAPX 14-2, biological rep2"
GSM275637,0.5,treatment_duration,from:Ler_30min,,,"Rosette leaves of wild type plants (Ler) grown under continuous light, transferrd to the dark for 8h and shifted to light for 30 min.",Ler_30min
GSM275638,1.0,treatment_duration,from:Ler_60min,,,"Rosette leaves of wild type plants (Ler) grown under continuous light, transferrd to the dark for 8h and shifted to light for 60 min.",Ler_60min
GSM275639,2.0,treatment_duration,from:Ler_2h,,,"Rosette leaves of wild type plants (Ler) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h.",Ler_2h
GSM275641,0.5,treatment_duration,from:flu_30min,,,"Rosette leaves of the flu mutant (Ler) grown under continuous light, transferrd to the dark for 8h and shifted to light for 30 min.",flu_30min
GSM275642,1.0,treatment_duration,from:flu_60min,,,"Rosette leaves of the flu mutant (Ler) grown under continuous light, transferrd to the dark for 8h and shifted to light for 60 min.",flu_60min
GSM275643,2.0,treatment_duration,from:flu_2h,,,"Rosette leaves of the flu mutant (Ler) grown under continuous light, transferrd to the dark for 8h and shifted to light for 2h.",flu_2h
GSM2936534,96.0,treatment_duration,"from:Root of Brassica napus, left untreated for 4 days",,,"Root of Brassica napus, left untreated for 4 days","Root of control (untreated) Brassica napus, biological replicate 1"
