sample,time_hours,time_type,time_raw,age_hours,age_raw,source,title
GSM2936535,96.0,treatment_duration,"from:Root of Brassica napus, left untreated for 4 days",,,"Root of Brassica napus, left untreated for 4 days","Root of control (untreated) Brassica napus, biological replicate 2"
GSM2936536,96.0,treatment_duration,"from:Root of Brassica napus, left untreated for 4 days",,,"Root of Brassica napus, left untreated for 4 days","Root of control (untreated) Brassica napus, biological replicate 3"
GSM2936537,96.0,treatment_duration,"from:Root of Brassica napus, after 4 days of foliar GSH treatment",,,"Root of Brassica napus, after 4 days of foliar GSH treatment","Root of foliar GSH-treated Brassica napus, biological replicate 1"
GSM2936538,96.0,treatment_duration,"from:Root of Brassica napus, after 4 days of foliar GSH treatment",,,"Root of Brassica napus, after 4 days of foliar GSH treatment","Root of foliar GSH-treated Brassica napus, biological replicate 2"
GSM2936539,96.0,treatment_duration,"from:Root of Brassica napus, after 4 days of foliar GSH treatment",,,"Root of Brassica napus, after 4 days of foliar GSH treatment","Root of foliar GSH-treated Brassica napus, biological replicate 3"
GSM2977304,3.0,treatment_duration,from:Col-0_3 h mock solution_biological rep1,,,"Col-0, whole seedlings, 3 h mock",Col-0_3 h mock solution_biological rep1
GSM2977305,3.0,treatment_duration,from:Col-0_3 h mock solution_biological rep2,,,"Col-0, whole seedlings, 3 h mock",Col-0_3 h mock solution_biological rep2
GSM2977306,3.0,treatment_duration,from:Col-0_3 h mock solution_biological rep3,,,"Col-0, whole seedlings, 3 h mock",Col-0_3 h mock solution_biological rep3
GSM2977307,3.0,treatment_duration,from:aba3-1_3 h mock solution_biological rep1,,,"aba3-1, whole seedlings, 3 h mock",aba3-1_3 h mock solution_biological rep1
GSM2977308,3.0,treatment_duration,from:aba3-1_3 h mock solution_biological rep2,,,"aba3-1, whole seedlings, 3 h mock",aba3-1_3 h mock solution_biological rep2
GSM2977309,3.0,treatment_duration,from:aba3-1_3 h mock solution_biological rep3,,,"aba3-1, whole seedlings, 3 h mock",aba3-1_3 h mock solution_biological rep3
GSM2977310,3.0,treatment_duration,from:aba2-2_3 h mock solution_biological rep1,,,"aba2-2, whole seedlings, 3 h mock",aba2-2_3 h mock solution_biological rep1
GSM2977311,3.0,treatment_duration,from:aba2-2_3 h mock solution_biological rep2,,,"aba2-2, whole seedlings, 3 h mock",aba2-2_3 h mock solution_biological rep2
GSM2977312,3.0,treatment_duration,from:aba2-2_3 h mock solution_biological rep3,,,"aba2-2, whole seedlings, 3 h mock",aba2-2_3 h mock solution_biological rep3
GSM2977313,3.0,treatment_duration,from:Col-0_3 h PEG solution_biological rep1,,,"Col-0, whole seedlings, 3 h PEG",Col-0_3 h PEG solution_biological rep1
GSM2977314,3.0,treatment_duration,from:Col-0_3 h PEG solution_biological rep2,,,"Col-0, whole seedlings, 3 h PEG",Col-0_3 h PEG solution_biological rep2
GSM2977315,3.0,treatment_duration,from:Col-0_3 h PEG solution_biological rep3,,,"Col-0, whole seedlings, 3 h PEG",Col-0_3 h PEG solution_biological rep3
GSM2977316,3.0,treatment_duration,from:aba3-1_3 h PEG solution_biological rep1,,,"aba3-1, whole seedlings, 3 h PEG",aba3-1_3 h PEG solution_biological rep1
GSM2977317,3.0,treatment_duration,from:aba3-1_3 h PEG solution_biological rep2,,,"aba3-1, whole seedlings, 3 h PEG",aba3-1_3 h PEG solution_biological rep2
GSM2977318,3.0,treatment_duration,from:aba3-1_3 h PEG solution_biological rep3,,,"aba3-1, whole seedlings, 3 h PEG",aba3-1_3 h PEG solution_biological rep3
GSM2977319,3.0,treatment_duration,from:aba2-2_3 h PEG solution_biological rep1,,,"aba2-2, whole seedlings, 3 h PEG",aba2-2_3 h PEG solution_biological rep1
GSM2977320,3.0,treatment_duration,from:aba2-2_3 h PEG solution_biological rep2,,,"aba2-2, whole seedlings, 3 h PEG",aba2-2_3 h PEG solution_biological rep2
GSM2977321,3.0,treatment_duration,from:aba2-2_3 h PEG solution_biological rep3,,,"aba2-2, whole seedlings, 3 h PEG",aba2-2_3 h PEG solution_biological rep3
GSM2977322,8.0,treatment_duration,from:Col-0_8 h mock plate_biological rep1,,,"Col-0, whole seedlings, 8 h mock",Col-0_8 h mock plate_biological rep1
GSM2977323,8.0,treatment_duration,from:Col-0_8 h mock plate_biological rep2,,,"Col-0, whole seedlings, 8 h mock",Col-0_8 h mock plate_biological rep2
GSM2977324,8.0,treatment_duration,from:Col-0_8 h mock plate_biological rep3,,,"Col-0, whole seedlings, 8 h mock",Col-0_8 h mock plate_biological rep3
GSM2977325,8.0,treatment_duration,from:aba3-1_8 h mock plate_biological rep1,,,"aba3-1, whole seedlings, 8 h mock",aba3-1_8 h mock plate_biological rep1
GSM2977326,8.0,treatment_duration,from:aba3-1_8 h mock plate_biological rep2,,,"aba3-1, whole seedlings, 8 h mock",aba3-1_8 h mock plate_biological rep2
GSM2977327,8.0,treatment_duration,from:aba3-1_8 h mock plate_biological rep3,,,"aba3-1, whole seedlings, 8 h mock",aba3-1_8 h mock plate_biological rep3
GSM2977328,8.0,treatment_duration,from:aba2-2_8 h mock plate_biological rep1,,,"aba2-2, whole seedlings, 8 h mock",aba2-2_8 h mock plate_biological rep1
GSM2977329,8.0,treatment_duration,from:aba2-2_8 h mock plate_biological rep2,,,"aba2-2, whole seedlings, 8 h mock",aba2-2_8 h mock plate_biological rep2
GSM2977330,8.0,treatment_duration,from:aba2-2_8 h mock plate_biological rep3,,,"aba2-2, whole seedlings, 8 h mock",aba2-2_8 h mock plate_biological rep3
GSM2977331,8.0,treatment_duration,from:Col-0_8 h PEG plate_biological rep1,,,"Col-0, whole seedlings, 8 h PEG",Col-0_8 h PEG plate_biological rep1
GSM2977332,8.0,treatment_duration,from:Col-0_8 h PEG plate_biological rep2,,,"Col-0, whole seedlings, 8 h PEG",Col-0_8 h PEG plate_biological rep2
GSM2977333,8.0,treatment_duration,from:Col-0_8 h PEG plate_biological rep3,,,"Col-0, whole seedlings, 8 h PEG",Col-0_8 h PEG plate_biological rep3
GSM2977334,8.0,treatment_duration,from:aba3-1_8 h PEG plate_biological rep1,,,"aba3-1, whole seedlings, 8 h PEG",aba3-1_8 h PEG plate_biological rep1
GSM2977335,8.0,treatment_duration,from:aba3-1_8 h PEG plate_biological rep2,,,"aba3-1, whole seedlings, 8 h PEG",aba3-1_8 h PEG plate_biological rep2
GSM2977336,8.0,treatment_duration,from:aba3-1_8 h PEG plate_biological rep3,,,"aba3-1, whole seedlings, 8 h PEG",aba3-1_8 h PEG plate_biological rep3
GSM2977337,8.0,treatment_duration,from:aba2-2_8 h PEG plate_biological rep1,,,"aba2-2, whole seedlings, 8 h PEG",aba2-2_8 h PEG plate_biological rep1
GSM2977338,8.0,treatment_duration,from:aba2-2_8 h PEG plate_biological rep2,,,"aba2-2, whole seedlings, 8 h PEG",aba2-2_8 h PEG plate_biological rep2
GSM2977339,8.0,treatment_duration,from:aba2-2_8 h PEG plate_biological rep3,,,"aba2-2, whole seedlings, 8 h PEG",aba2-2_8 h PEG plate_biological rep3
GSM3069397,8.0,treatment_duration,from:wild type cold 8h rep1,,,wild type Arabdopsis leaf,wild type cold 8h rep1
GSM3069398,8.0,treatment_duration,from:wild type cold 8h rep2,,,wild type Arabdopsis leaf,wild type cold 8h rep2
GSM3069401,8.0,treatment_duration,from:VaMyb14-OE cold 8h rep1,,,VaMyb14 transgenic Arabdopsis leaf,VaMyb14-OE cold 8h rep1
GSM3069402,8.0,treatment_duration,from:VaMyb14-OE cold 8h rep2,,,VaMyb14 transgenic Arabdopsis leaf,VaMyb14-OE cold 8h rep2
GSM3124468,,,,336.0,age: 2 weeks,C24 control rep1,C24 control rep1
GSM3124469,,,,336.0,age: 2 weeks,C24 control rep2,C24 control rep2
GSM3124470,,,,336.0,age: 2 weeks,C24 after PEG treatment rep1,C24 after PEG treatment rep1
GSM3124471,,,,336.0,age: 2 weeks,C24 after PEG treatment rep2,C24 after PEG treatment rep2
GSM3124472,,,,336.0,age: 2 weeks,C24 after salt treatment rep1,C24 after salt treatment rep1
GSM3124473,,,,336.0,age: 2 weeks,C24 after salt treatment rep2,C24 after salt treatment rep2
GSM3124474,,,,336.0,age: 2 weeks,Col control rep1,Col control rep1
GSM3124475,,,,336.0,age: 2 weeks,Col control rep2,Col control rep2
GSM3124476,,,,336.0,age: 2 weeks,Col after PEG treatment rep1,Col after PEG treatment rep1
GSM3124477,,,,336.0,age: 2 weeks,Col after PEG treatment rep2,Col after PEG treatment rep2
GSM3124478,,,,336.0,age: 2 weeks,Col after salt treatment rep1,Col after salt treatment rep1
GSM3124479,,,,336.0,age: 2 weeks,Col after salt treatment rep2,Col after salt treatment rep2
GSM3124480,,,,336.0,age: 2 weeks,Ler control rep1,Ler control rep1
GSM3124481,,,,336.0,age: 2 weeks,Ler control rep2,Ler control rep2
GSM3124482,,,,336.0,age: 2 weeks,Ler after PEG treatment rep1,Ler after PEG treatment rep1
GSM3124483,,,,336.0,age: 2 weeks,Ler after PEG treatment rep2,Ler after PEG treatment rep2
GSM3124484,,,,336.0,age: 2 weeks,Ler after salt treatment rep1,Ler after salt treatment rep1
GSM3124485,,,,336.0,age: 2 weeks,Ler after salt treatment rep2,Ler after salt treatment rep2
GSM3124486,,,,336.0,age: 2 weeks,Sha control rep1,Sha control rep1
GSM3124487,,,,336.0,age: 2 weeks,Sha control rep2,Sha control rep2
GSM3124488,,,,336.0,age: 2 weeks,Sha after PEG treatment rep1,Sha after PEG treatment rep1
GSM3124489,,,,336.0,age: 2 weeks,Sha after PEG treatment rep2,Sha after PEG treatment rep2
GSM3124490,,,,336.0,age: 2 weeks,Sha after salt treatment rep1,Sha after salt treatment rep1
GSM3124491,,,,336.0,age: 2 weeks,Sha after salt treatment rep2,Sha after salt treatment rep2
GSM3124492,,,,336.0,age: 2 weeks,Ws control rep1,Ws control rep1
GSM3124493,,,,336.0,age: 2 weeks,Ws control rep2,Ws control rep2
GSM3124494,,,,336.0,age: 2 weeks,Ws after PEG treatment rep1,Ws after PEG treatment rep1
GSM3124495,,,,336.0,age: 2 weeks,Ws after PEG treatment rep2,Ws after PEG treatment rep2
GSM3124496,,,,336.0,age: 2 weeks,Ws after salt treatment rep1,Ws after salt treatment rep1
GSM3124497,,,,336.0,age: 2 weeks,Ws after salt treatment rep2,Ws after salt treatment rep2
GSM3370021,168.0,treatment_duration,from:At_7d treatment control_rep1,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d treatment control_rep1
GSM3370022,168.0,treatment_duration,from:At_7d Arsenic treatment _rep1,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Arsenic treatment _rep1
GSM3370023,168.0,treatment_duration,from:At_7d Hypoxia treatment _rep1,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Hypoxia treatment _rep1
GSM3370024,168.0,treatment_duration,from:At_7d Combination treatment _rep1,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Combination treatment _rep1
GSM3370025,168.0,treatment_duration,from:At_7d treatment control_rep2,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d treatment control_rep2
GSM3370026,168.0,treatment_duration,from:At_7d Arsenic treatment _rep2,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Arsenic treatment _rep2
GSM3370027,168.0,treatment_duration,from:At_7d Hypoxia treatment _rep2,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Hypoxia treatment _rep2
GSM3370028,168.0,treatment_duration,from:At_7d Combination treatment _rep2,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Combination treatment _rep2
GSM3370029,168.0,treatment_duration,from:At_7d treatment control_rep3,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d treatment control_rep3
GSM3370030,168.0,treatment_duration,from:At_7d Arsenic treatment _rep3,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Arsenic treatment _rep3
GSM3370031,168.0,treatment_duration,from:At_7d Hypoxia treatment _rep3,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Hypoxia treatment _rep3
GSM3370032,168.0,treatment_duration,from:At_7d Combination treatment _rep3,,,Arabidopsis thaliana (Col-0) roots after 7d of treatment (39d old plant),At_7d Combination treatment _rep3
GSM19981,12.0,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",50-pParD_1
GSM19982,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",50-pParL_1
GSM19983,12.0,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",50-pParD_2
GSM19984,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",50-pParL_2
GSM19985,12.0,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",50-pParD_3
GSM19986,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",50-pParL_3
GSM19987,12.0,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",50-pParD_4
GSM19988,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",50-pParL_4
GSM19989,12.0,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",50-pParD_5
GSM19990,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",50-pParL_5
GSM19991,12.0,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and dark adapted for 12 h",50-pParD_6
GSM19992,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",50-pParL_6
GSM19993,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",51-H2O_1
GSM19994,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",51-pPar_1
GSM19995,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",51-H2O_2
GSM19996,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",51-pPar_2
GSM19997,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",51-H2O_3
GSM19998,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",51-pPar_3
GSM19999,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",51-H2O_4
GSM20000,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",51-pPar_4
GSM20001,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",51-H2O_5
GSM20002,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",51-pPar_5
GSM20003,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with H20 and reexposed for 30 min in light",51-H2O_6
GSM20004,0.5,treatment_duration,"from:WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",,,"WT, ecotype Landsberg, treated with 50 microM paraquat and reexposed for 30 min in light",51-pPar_6
GSM3508146,0.0,treatment_duration,time: 0 h,,,seedlings,Col-0_mock_0_h_rep1 time course
GSM3508147,0.0,treatment_duration,time: 0 h,,,seedlings,Col-0_mock_0_h_rep2 time course
GSM3508148,0.0,treatment_duration,time: 0 h,,,seedlings,Col-0_mock_0_h_rep3 time course
GSM3508149,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_urea_06_h_rep1 time course
GSM3508150,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_urea_06_h_rep2 time course
GSM3508151,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_urea_06_h_rep3 time course
GSM3508152,12.0,treatment_duration,time: 12 h,,,seedlings,Col-0_urea_12_h_rep1 time course
GSM3508153,12.0,treatment_duration,time: 12 h,,,seedlings,Col-0_urea_12_h_rep2 time course
GSM3508154,12.0,treatment_duration,time: 12 h,,,seedlings,Col-0_urea_12_h_rep3 time course
GSM3508155,24.0,treatment_duration,time: 24 h,,,seedlings,Col-0_urea_24_h_rep1 time course
GSM3508156,24.0,treatment_duration,time: 24 h,,,seedlings,Col-0_urea_24_h_rep2 time course
GSM3508157,24.0,treatment_duration,time: 24 h,,,seedlings,Col-0_urea_24_h_rep3 time course
GSM3508158,48.0,treatment_duration,time: 48 h,,,seedlings,Col-0_urea_48_h_rep1 time course
GSM3508159,48.0,treatment_duration,time: 48 h,,,seedlings,Col-0_urea_48_h_rep2 time course
GSM3508160,48.0,treatment_duration,time: 48 h,,,seedlings,Col-0_urea_48_h_rep3 time course
GSM3508161,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_L-Glu_06_h_rep1 time course
GSM3508162,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_L-Glu_06_h_rep2 time course
GSM3508163,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_L-Glu_06_h_rep3 time course
GSM3508164,12.0,treatment_duration,time: 12 h,,,seedlings,Col-0_L-Glu_12_h_rep1 time course
GSM3508165,12.0,treatment_duration,time: 12 h,,,seedlings,Col-0_L-Glu_12_h_rep2 time course
GSM3508166,12.0,treatment_duration,time: 12 h,,,seedlings,Col-0_L-Glu_12_h_rep3 time course
GSM3508167,24.0,treatment_duration,time: 24 h,,,seedlings,Col-0_L-Glu_24_h_rep1 time course
GSM3508168,24.0,treatment_duration,time: 24 h,,,seedlings,Col-0_L-Glu_24_h_rep2 time course
GSM3508169,24.0,treatment_duration,time: 24 h,,,seedlings,Col-0_L-Glu_24_h_rep3 time course
GSM3508170,48.0,treatment_duration,time: 48 h,,,seedlings,Col-0_L-Glu_48_h_rep1 time course
GSM3508171,48.0,treatment_duration,time: 48 h,,,seedlings,Col-0_L-Glu_48_h_rep2 time course
GSM3508172,48.0,treatment_duration,time: 48 h,,,seedlings,Col-0_L-Glu_48_h_rep3 time course
GSM3508173,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_SA_06_h_rep1 time course
GSM3508174,6.0,treatment_duration,time: 6 h,,,seedlings,Col-0_SA_06_h_rep2 time course
