stimulus,n_samples
spaceflight,879
chloroplast_stress,446
pathogen_biotic,404
unclassified,319
h2o2;drought,210
h2o2,123
pathogen_biotic;chloroplast_stress,117
cold,90
high_light;chloroplast_stress,87
antioxidant_mutant;chloroplast_stress,86
pathogen_biotic;antioxidant_mutant,80
hypoxia,78
high_light,75
h2o2;singlet_oxygen;antioxidant_mutant,71
aba,69
heat;chloroplast_stress,67
high_light;antioxidant_mutant;chloroplast_stress,60
singlet_oxygen;cold,54
h2o2;antioxidant_mutant,52
h2o2;pathogen_biotic,51
ozone;chloroplast_stress,45
high_light;pathogen_biotic;antioxidant_mutant,36
h2o2;heavy_metal,36
aba;chloroplast_stress,36
singlet_oxygen,34
antioxidant_mutant,33
salt;pathogen_biotic;chloroplast_stress,32
singlet_oxygen;heavy_metal;antioxidant_mutant,30
singlet_oxygen;high_light;chloroplast_stress,30
drought;pathogen_biotic,28
h2o2;heavy_metal;pathogen_biotic,27
paraquat/mv;herbicide,24
singlet_oxygen;pathogen_biotic,24
h2o2;singlet_oxygen;high_light;drought,24
herbicide,24
mitochondrial_stress;chloroplast_stress,22
singlet_oxygen;chloroplast_stress,19
h2o2;singlet_oxygen;high_light;pathogen_biotic,18
ozone;singlet_oxygen;uv;chloroplast_stress,18
paraquat/mv;pathogen_biotic;antioxidant_mutant;chloroplast_stress,18
h2o2;singlet_oxygen;high_light;antioxidant_mutant,16
salt,16
h2o2;singlet_oxygen;drought,16
heat;pathogen_biotic;antioxidant_mutant,16
singlet_oxygen;antioxidant_mutant;chloroplast_stress,16
heavy_metal;chloroplast_stress,15
h2o2;drought;salt;pathogen_biotic,14
drought;salt;pathogen_biotic,12
heavy_metal;hypoxia,12
drought;aba;salt,12
heat;pathogen_biotic;chloroplast_stress,12
h2o2;high_light,12
high_light;antioxidant_mutant,12
paraquat/mv;chloroplast_stress,12
drought;aba,12
h2o2;salt,12
salt;chloroplast_stress,12
singlet_oxygen;high_light,9
drought;aba;salt;cold;chloroplast_stress,8
pathogen_biotic;antioxidant_mutant;chloroplast_stress,8
ozone,8
heavy_metal,8
heat;pathogen_biotic,8
heat,8
cold;antioxidant_mutant;chloroplast_stress,8
aba;salt;chloroplast_stress,8
h2o2;drought;aba;nitric_oxide,8
h2o2;singlet_oxygen,6
h2o2;paraquat/mv;singlet_oxygen;herbicide,6
aba;herbicide,6
aba;antioxidant_mutant,6
h2o2;singlet_oxygen;herbicide;antioxidant_mutant,6
herbicide;antioxidant_mutant;chloroplast_stress,6
h2o2;singlet_oxygen;antioxidant_mutant;nitric_oxide,6
singlet_oxygen;reductant;chloroplast_stress,4
