tissue,cell_type,sf_mean,ground_mean,delta,p_value,n_sf,n_ground,fdr
root,Anther,0.1958,0.1909,0.0049,0.016148,30,237,0.045214399999999995
root,Epidermis,0.397,0.2907,0.1063,0.000671,30,237,0.0028385
root,Guard_cells,0.0,0.0107,-0.0107,0.11971,30,237,0.1523581818181818
root,Gynoecium,0.2523,0.2811,-0.0288,0.000811,30,237,0.0028385
root,Male_meiocyte,0.1325,0.0704,0.0621,0.0,30,237,0.0
root,Meristematic,0.0,0.1172,-0.1172,0.000742,30,237,0.0028385
root,Phloem,0.0224,0.031,-0.0086,0.550463,30,237,0.550463
root,Trichoblast,0.0,0.0071,-0.0071,0.381663,30,237,0.41102169230769225
cell_culture,Anther,0.2243,0.1548,0.0695,0.030443,48,19,0.060886
cell_culture,Epidermis,0.3526,0.3981,-0.0455,0.042974,48,19,0.07520450000000001
cell_culture,Gynoecium,0.3039,0.3069,-0.0031,0.096455,48,19,0.138985
cell_culture,Male_meiocyte,0.0825,0.0873,-0.0048,0.099275,48,19,0.138985
cell_culture,Meristematic,0.0114,0.0,0.0114,0.024925,48,19,0.05815833333333333
cell_culture,Phloem,0.0254,0.0529,-0.0275,0.153244,48,19,0.17878466666666668
