study,n_samples,has_time,has_age
GSE100525,6,False,True
GSE10464,6,True,False
GSE10509,10,True,False
GSE10812,8,True,False
GSE10876,6,True,False
GSE109282,6,True,False
GSE110079,36,True,False
GSE110488,13,False,False
GSE112389,8,True,False
GSE113950,30,False,True
GSE115486,6,False,False
GSE117296,12,False,False
GSE117297,12,False,False
GSE117298,23,False,False
GSE119327,12,True,False
GSE1205,12,False,False
GSE1206,12,True,False
GSE1207,12,True,False
GSE123620,39,True,False
GSE124475,18,True,False
GSE124871,10,False,True
GSE127300,20,False,False
GSE128156,36,False,False
GSE128953,8,False,False
GSE131545,6,True,False
GSE132626,61,False,False
GSE133182,6,False,False
GSE13739,56,True,False
GSE13803,12,True,False
GSE139100,64,False,False
GSE141547,12,False,False
GSE141597,24,True,False
GSE141916,48,True,False
GSE14237,64,True,False
GSE14240,8,False,True
GSE144091,3,False,False
GSE144768,6,True,False
GSE14765,6,True,False
GSE147793,9,False,True
GSE147962,48,False,False
GSE152454,105,False,False
GSE152455,105,False,False
GSE155026,6,True,False
GSE158444,48,True,False
GSE167244,20,False,False
GSE16765,12,True,False
GSE179303,24,True,False
GSE18217,8,True,False
GSE18336,4,False,False
GSE18646,9,False,False
GSE188732,36,False,False
GSE19109,12,True,False
GSE19241,12,False,False
GSE19242,12,False,False
GSE19244,6,False,False
GSE19245,24,True,False
GSE197351,54,False,False
GSE19857,8,True,False
GSE199325,27,True,False
GSE20009,5,False,True
GSE20454,18,True,False
GSE20756,16,False,True
GSE208786,12,False,True
GSE213185,9,True,False
GSE21765,6,True,False
GSE21876,12,False,True
GSE22671,9,False,False
GSE228403,24,True,False
GSE22942,12,True,False
GSE22951,18,True,False
GSE232781,6,False,False
GSE23301,12,True,False
GSE23329,17,True,False
GSE23330,10,True,False
GSE234954,31,False,False
GSE236189,12,False,False
GSE24052,6,True,False
GSE2406,4,False,False
GSE242125,20,False,False
GSE244175,47,True,False
GSE24766,24,False,False
GSE249592,15,True,False
GSE25838,3,True,False
GSE26197,16,False,False
GSE263276,72,True,False
GSE268259,18,False,False
GSE269018,10,False,False
GSE269623,5,True,False
GSE26983,24,True,False
GSE275743,75,True,False
GSE277977,16,False,False
GSE27985,30,True,False
GSE293328,9,True,False
GSE294853,135,False,False
GSE29589,15,True,False
GSE299982,6,False,False
GSE301070,9,False,False
GSE303753,5,False,False
GSE311803,19,True,False
GSE31517,6,True,False
GSE31977,15,False,True
GSE326413,5,False,False
GSE330879,24,False,False
GSE334721,5,False,False
GSE33978,8,True,False
GSE343067,60,False,False
GSE34667,27,True,False
GSE3539,3,False,False
GSE35526,4,False,False
GSE36893,8,False,True
GSE37818,4,False,False
GSE38965,12,False,False
GSE4021,4,False,False
GSE40574,6,True,False
GSE40735,8,False,False
GSE40940,8,False,False
GSE4113,9,False,False
GSE41136,36,True,False
GSE41963,16,False,False
GSE42065,6,True,False
GSE42149,5,False,False
GSE42545,12,False,True
GSE42642,12,True,False
GSE42710,18,True,False
GSE42899,5,True,False
GSE43551,18,False,False
GSE44984,14,False,False
GSE48474,8,False,False
GSE48676,6,True,False
GSE49418,12,True,False
GSE49596,30,True,False
GSE49919,12,False,True
GSE51767,78,True,False
GSE52013,6,True,False
GSE52326,12,True,False
GSE53152,4,False,False
GSE54534,27,True,False
GSE5530,12,False,False
GSE56658,24,False,False
GSE56659,36,False,False
GSE57035,16,True,False
GSE5718,24,False,False
GSE5722,6,False,False
GSE5728,8,False,False
GSE57286,18,True,False
GSE5737,12,False,False
GSE58771,4,True,False
GSE59562,12,False,True
GSE60260,18,True,False
GSE61170,4,False,False
GSE6165,6,False,False
GSE62888,8,True,False
GSE63184,12,True,False
GSE63185,12,True,False
GSE63946,24,True,False
GSE64354,4,True,False
GSE64355,4,True,False
GSE64783,6,False,True
GSE64853,6,False,True
GSE66365,6,False,True
GSE66477,10,True,False
GSE66980,9,False,False
GSE67356,16,True,False
GSE68093,6,False,False
GSE71188,119,True,False
GSE71914,7,False,False
GSE72050,8,True,False
GSE7211,10,True,False
GSE72547,12,True,False
GSE7334,4,True,False
GSE74386,15,False,False
GSE77017,24,True,False
GSE77170,12,False,True
GSE77171,6,False,True
GSE77467,8,True,False
GSE79287,14,True,False
GSE80158,6,False,True
GSE80200,6,True,False
GSE80815,4,False,True
GSE81442,18,False,False
GSE81516,9,False,True
GSE81634,12,True,False
GSE83262,12,False,True
GSE84087,6,False,True
GSE84770,18,True,False
GSE84997,22,True,False
GSE85015,28,True,False
GSE90465,6,True,False
GSE90701,8,True,False
GSE91044,12,False,True
GSE92314,15,False,False
GSE9235,10,True,False
GSE9402,4,True,False
GSE94327,40,True,False
GSE94995,16,False,False
GSE95202,16,False,False
GSE95388,6,False,False
GSE97308,6,False,False
GSE98880,10,True,False
OSD-120,36,False,False
OSD-121,8,False,False
OSD-136,9,False,False
OSD-147,18,False,False
OSD-17,24,False,False
OSD-193,32,False,False
OSD-205,6,False,False
OSD-208,6,False,False
OSD-217,12,False,False
OSD-218,32,False,False
OSD-22,21,False,False
OSD-223,40,False,False
OSD-251,20,False,False
OSD-281,32,False,False
OSD-313,18,False,False
OSD-314,11,False,False
OSD-321,44,False,False
OSD-346,36,False,False
OSD-37,56,False,False
OSD-38,12,False,False
OSD-406,24,False,False
OSD-427,48,False,False
OSD-428,10,False,False
OSD-434,9,False,False
OSD-437,19,False,False
OSD-44,12,False,False
OSD-450,15,False,False
OSD-522,12,False,False
OSD-565,45,False,False
OSD-624,36,False,False
OSD-658,14,False,False
OSD-678,36,False,False
OSD-782,36,False,False
