tissue,n_samples
unspecified,1380
seedling,654
rosette_leaf,302
stem,293
root,282
seedling;seed,263
rosette_leaf;stem,240
seedling;root;seed;stem,210
unknown,135
root;stem,104
seed,78
cell_culture,67
rosette_leaf;root,60
seedling;seed;stem,57
seed;flower;stem,29
seed;stem,24
rosette_leaf;root;stem,23
seedling;rosette_leaf;seed;stem,20
stem;cell_culture,18
root;seed,12
rosette,12
seedling;rosette_leaf;root;seed;stem,10
cell_culture;whole_plant,9
flower,8
seed;flower,8
seedling;rosette_leaf;seed,6
rosette_leaf;flower;stem,6
seedling;root;seed,6
seedling;root;seed;flower,6
rosette_leaf;seed,4
rosette_leaf;cell_culture,3
rosette_leaf;root;flower,3
